DEMANDA,QUANTIDADE,DATA_SOLICITAÇÃO,PRAZO_DESEJADO,DATA_APROVAÇÃO,DATA_EMISSAO_NF,PREVISAO_ENTREGA,NUMERO_NF,FORNECEDOR,VALOR_TOTAL_COMPRA,VALOR_FRETE,CREDITO_ICMS,CNPJ_FATURADO,FORMA_PAGAMENTO,NUMERO_PARCELAS,VALOR_UNITARIO,UNIDADES,CATEGORIA_COMPRAS,CATEGORIA_MATERIAL_PCP
20378 WIRE-O - BOBINA PRETAUNICA-9/16,4,24/04/2025,09/04/2025,10/04/2025,22/04/2025,24/04/2025,219101,Lassane,1825.71,183.99,233.57,Natural,Boleto,3,456.43,CAIXAS,Wire-o,WIRE-O
MP003 ELASTICO Nº 12Amarelo Ouro - São José-U,200,09/05/2025,09/04/2025,15/04/2025,02/05/2025,09/05/2025,162055,Fábrica de Elásicos São José,363.68,16.73,43.64,Universo,Boleto,1,1.82,METROS,Aviamentos,ELASTICO
MP003 ELASTICO Nº 12Marrom - São José-U,1500,09/05/2025,09/04/2025,15/04/2025,02/05/2025,09/05/2025,162055,Fábrica de Elásicos São José,681.9,31.36,81.83,Universo,Boleto,1,0.45,METROS,Aviamentos,ELASTICO
MP003 ELASTICO Nº 12Preto - São José-U,1500,09/05/2025,09/04/2025,15/04/2025,02/05/2025,09/05/2025,162055,Fábrica de Elásicos São José,681.9,31.36,81.83,Universo,Boleto,1,0.45,METROS,Aviamentos,ELASTICO
MP003 ELASTICO Nº 12Verde Musgo - São José-U,500,09/05/2025,09/04/2025,15/04/2025,02/05/2025,09/05/2025,162055,Fábrica de Elásicos São José,227.3,10.45,27.28,Universo,Boleto,1,0.45,METROS,Aviamentos,ELASTICO
MP003 ELASTICO Nº 12Vermelho - São José-U,100,09/05/2025,09/04/2025,15/04/2025,02/05/2025,09/05/2025,162055,Fábrica de Elásicos São José,45.46,2.09,5.46,Universo,Boleto,1,0.45,METROS,Aviamentos,ELASTICO
MP001 FITA DE CETIM Nº0 4MMAzul Royal - cód. 40-4MM,200,17/04/2025,09/04/2025,15/04/2025,15/04/2025,17/04/2025,126225,Castro e Castro,19.98,0,2.18,Mar,Boleto,1,0.1,METROS,Aviamentos,FITA DE CETIM
MP001 FITA DE CETIM Nº0 4MMMarrom - cód. 32-4MM,200,17/04/2025,09/04/2025,15/04/2025,15/04/2025,17/04/2025,126225,Castro e Castro,19.98,0,2.17,Mar,Boleto,2,0.1,METROS,Aviamentos,FITA DE CETIM
MP001 FITA DE CETIM Nº0 4MMPreta - Cód. 39-4MM,1500,17/04/2025,09/04/2025,15/04/2025,15/04/2025,17/04/2025,126225,Castro e Castro,149.85,0,16.35,Mar,Boleto,1,0.1,METROS,Aviamentos,FITA DE CETIM
MP001 FITA DE CETIM Nº0 4MMVerde Musgo - cód. 108 Kit-4MM,300,17/04/2025,09/04/2025,30/04/2025,30/04/2025,30/04/2025,72525,Parco Comércio e Serviços,38.97,0,0,Universo,Cartão,1,0.13,METROS,Aviamentos,FITA DE CETIM
MP001 FITA DE CETIM Nº0 4MMVinho - Cód. 37 Kit-4MM,100,17/04/2025,09/04/2025,30/04/2025,30/04/2025,30/04/2025,72525,Parco Comércio e Serviços,12.99,0,0,Universo,Cartão,1,0.13,METROS,Aviamentos,FITA DE CETIM
MP002 FITA DE CETIM Nº1 7MMMarrom - cód. 32-7MM,300,17/04/2025,09/04/2025,30/04/2025,30/04/2025,30/04/2025,72525,Parco Comércio e Serviços,38.97,0,0,Universo,Cartão,1,0.13,METROS,Aviamentos,FITA DE CETIM
